A,NINT,AC41,ED0-2,Y50-64,M,PC,CY	30.3 
A,NINT,AC41,ED0-2,Y50-64,M,PC,CZ	43.2 
A,NINT,AC41,ED0-2,Y50-64,M,PC,DE	26.2 
A,NINT,AC41,ED0-2,Y50-64,M,PC,EE	30.4 
A,NINT,AC41,ED0-2,Y50-64,M,PC,EL	65.7 
A,NINT,AC41,ED0-2,Y50-64,M,PC,ES	20.1 
A,NINT,AC41,ED0-2,Y50-64,M,PC,FR	31.9 
A,NINT,AC41,ED0-2,Y50-64,M,PC,HR	12.5 
A,NINT,AC41,ED0-2,Y50-64,M,PC,HU	49.2 
A,NINT,AC41,ED0-2,Y50-64,M,PC,IE	19.1 
A,NINT,AC41,ED0-2,Y50-64,M,PC,IT	24.2 
A,NINT,AC41,ED0-2,Y50-64,M,PC,LT	20.8 
A,NINT,AC41,ED0-2,Y50-64,M,PC,LU	18.7 
A,NINT,AC41,ED0-2,Y50-64,M,PC,LV	44.7 
A,NINT,AC41,ED0-2,Y50-64,M,PC,MT	23.8 
A,NINT,AC41,ED0-2,Y50-64,M,PC,PL	35.6 
A,NINT,AC41,ED0-2,Y50-64,M,PC,PT	26.7 
A,NINT,AC41,ED0-2,Y50-64,M,PC,RO	29.9 
A,NINT,AC41,ED0-2,Y50-64,M,PC,SK	37.8 
A,NINT,AC41,ED0-2,Y50-64,M,PC,UK	27.0 
A,NINT,AC41,ED0-2,Y50-64,T,PC,AT	32.7 
A,NINT,AC41,ED0-2,Y50-64,T,PC,BE	22.8 
A,NINT,AC41,ED0-2,Y50-64,T,PC,BG	29.5 
A,NINT,AC41,ED0-2,Y50-64,T,PC,CY	27.6 
A,NINT,AC41,ED0-2,Y50-64,T,PC,CZ	49.1 
A,NINT,AC41,ED0-2,Y50-64,T,PC,DE	20.6 
A,NINT,AC41,ED0-2,Y50-64,T,PC,EE	28.2 
