freq,isced11,age,sex,unit,geo\TIME_PERIOD	2013 	2015 
A,ED0-2,Y16-29,T,PC,UK	83.6 u	94.6 u
A,ED0-2,Y25-34,F,PC,AT	90.5 	95.1 
A,ED0-2,Y25-34,F,PC,BE	81.9 	86.5 
A,ED0-2,Y25-34,F,PC,BG	92.6 	91.5 
A,ED0-2,Y25-34,F,PC,CH	95.0 u	87.3 
A,ED0-2,Y25-34,F,PC,CY	88.8 	97.3 
A,ED0-2,Y25-34,F,PC,CZ	91.3 u	92.3 u
A,ED0-2,Y25-34,F,PC,DE	92.4 	94.9 
A,ED0-2,Y25-34,F,PC,DK	: u	: u
A,ED0-2,Y25-34,F,PC,EE	97.8 	96.7 
A,ED0-2,Y25-34,F,PC,EL	61.7 	90.3 
A,ED0-2,Y25-34,F,PC,ES	98.2 	96.0 
A,ED0-2,Y25-34,F,PC,EU27_2007	91.9 u	92.4 u
A,ED0-2,Y25-34,F,PC,EU27_2020	92.1 u	92.2 u
A,ED0-2,Y25-34,F,PC,EU28	: u	92.4 u
A,ED0-2,Y25-34,F,PC,FI	100.0 u	96.6 u
A,ED0-2,Y25-34,F,PC,FR	92.7 u	94.8 u
A,ED0-2,Y25-34,F,PC,HR	97.5 u	86.2 
A,ED0-2,Y25-34,F,PC,HU	98.8 	97.4 
A,ED0-2,Y25-34,F,PC,IE	97.6 u	94.0 u
A,ED0-2,Y25-34,F,PC,IS	89.1 	97.5 u
A,ED0-2,Y25-34,F,PC,IT	84.1 u	84.6 
A,ED0-2,Y25-34,F,PC,LT	91.6 u	100.0 u
A,ED0-2,Y25-34,F,PC,LU	93.7 u	93.5 
A,ED0-2,Y25-34,F,PC,LV	90.2 	93.2 
A,ED0-2,Y25-34,F,PC,MK	: u	93.6 
A,ED0-2,Y25-34,F,PC,MT	95.8 u	94.8 
A,ED0-2,Y25-34,F,PC,NL	93.1 	95.1 u
A,ED0-2,Y25-34,F,PC,NO	93.7 u	100.0 u
A,ED0-2,Y25-34,F,PC,PL	88.4 u	84.4 u
A,ED0-2,Y25-34,F,PC,PT	95.2 u	92.4 
A,ED0-2,Y25-34,F,PC,RO	91.8 	92.5 
A,ED0-2,Y25-34,F,PC,RS	94.1 u	98.4 
A,ED0-2,Y25-34,F,PC,SE	: u	93.2 u
A,ED0-2,Y25-34,F,PC,SI	93.6 u	96.6 u
A,ED0-2,Y25-34,F,PC,SK	90.9 u	97.9 
A,ED0-2,Y25-34,F,PC,UK	89.6 u	93.7 u
A,ED0-2,Y25-34,M,PC,AT	91.1 	100.0 
A,ED0-2,Y25-34,M,PC,BE	86.9 	89.0 
A,ED0-2,Y25-34,M,PC,BG	87.2 	92.3 
A,ED0-2,Y25-34,M,PC,CH	89.4 u	81.7 u
A,ED0-2,Y25-34,M,PC,CY	88.9 	95.0 
A,ED0-2,Y25-34,M,PC,CZ	87.6 u	91.5 
A,ED0-2,Y25-34,M,PC,DE	82.9 	87.8 
A,ED0-2,Y25-34,M,PC,DK	: u	100.0 u
A,ED0-2,Y25-34,M,PC,EE	88.3 	95.4 
A,ED0-2,Y25-34,M,PC,EL	69.9 	95.4 
A,ED0-2,Y25-34,M,PC,ES	97.0 	98.2 
A,ED0-2,Y25-34,M,PC,EU27_2007	90.4 u	92.1 u
A,ED0-2,Y25-34,M,PC,EU27_2020	90.8 u	91.8 u
A,ED0-2,Y25-34,M,PC,EU28	90.4 u	92.1 u
A,ED0-2,Y25-34,M,PC,FI	98.1 	97.6 
A,ED0-2,Y25-34,M,PC,FR	97.0 u	90.7 u
A,ED0-2,Y25-34,M,PC,HR	84.4 u	87.3 
A,ED0-2,Y25-34,M,PC,HU	95.0 	97.4 
A,ED0-2,Y25-34,M,PC,IE	93.3 u	100.0 u
A,ED0-2,Y25-34,M,PC,IS	93.0 	91.0 
A,ED0-2,Y25-34,M,PC,IT	84.4 u	85.3 
A,ED0-2,Y25-34,M,PC,LT	88.7 u	97.3 u
A,ED0-2,Y25-34,M,PC,LU	83.1 u	94.6 
A,ED0-2,Y25-34,M,PC,LV	90.4 	90.9 
A,ED0-2,Y25-34,M,PC,MK	: u	92.0 
A,ED0-2,Y25-34,M,PC,MT	90.0 u	95.3 
A,ED0-2,Y25-34,M,PC,NL	89.3 	85.1 u
A,ED0-2,Y25-34,M,PC,NO	93.0 	97.6 
A,ED0-2,Y25-34,M,PC,PL	86.9 u	91.6 u
A,ED0-2,Y25-34,M,PC,PT	94.5 u	93.9 
A,ED0-2,Y25-34,M,PC,RO	89.9 	96.2 
A,ED0-2,Y25-34,M,PC,RS	92.4 u	97.6 
A,ED0-2,Y25-34,M,PC,SE	85.5 u	75.4 u
A,ED0-2,Y25-34,M,PC,SI	93.4 u	93.7 
A,ED0-2,Y25-34,M,PC,SK	94.0 u	90.5 
A,ED0-2,Y25-34,M,PC,UK	82.7 u	94.6 u
