freq,isced11,acl00,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,ED0-2,AC41A,Y25-34,F,PC,EU27_2020	7.2 e	4.6 u
A,ED0-2,AC41A,Y25-34,F,PC,EU28	7.5 u	: 
A,ED0-2,AC41A,Y25-34,F,PC,FI	20.6 u	: u
A,ED0-2,AC41A,Y25-34,F,PC,FR	7.9 	5.4 
A,ED0-2,AC41A,Y25-34,F,PC,HR	11.2 	: u
A,ED0-2,AC41A,Y25-34,F,PC,HU	0.5 	0.0 
A,ED0-2,AC41A,Y25-34,F,PC,IE	13.5 u	9.8 u
A,ED0-2,AC41A,Y25-34,F,PC,IS	17.2 u	: 
A,ED0-2,AC41A,Y25-34,F,PC,IT	6.6 	5.9 
A,ED0-2,AC41A,Y25-34,F,PC,LT	20.5 u	0 u
A,ED0-2,AC41A,Y25-34,F,PC,LU	17.2 	6.8 u
A,ED0-2,AC41A,Y25-34,F,PC,LV	8.6 	23.2 u
A,ED0-2,AC41A,Y25-34,F,PC,ME	: 	0 u
A,ED0-2,AC41A,Y25-34,F,PC,MK	3.7 	: 
A,ED0-2,AC41A,Y25-34,F,PC,MT	2.3 	0.0 
A,ED0-2,AC41A,Y25-34,F,PC,NL	28.4 u	11.5 u
A,ED0-2,AC41A,Y25-34,F,PC,NO	31.6 u	50.7 u
A,ED0-2,AC41A,Y25-34,F,PC,PL	7.5 u	0.6 
A,ED0-2,AC41A,Y25-34,F,PC,PT	7.7 	2.9 
A,ED0-2,AC41A,Y25-34,F,PC,RO	2.6 	0.7 
A,ED0-2,AC41A,Y25-34,F,PC,RS	3.2 	0.0 
A,ED0-2,AC41A,Y25-34,F,PC,SE	12.5 u	4.9 u
A,ED0-2,AC41A,Y25-34,F,PC,SI	9.9 u	: u
A,ED0-2,AC41A,Y25-34,F,PC,SK	0.0 	0 u
A,ED0-2,AC41A,Y25-34,F,PC,TR	: 	0.2 
A,ED0-2,AC41A,Y25-34,F,PC,UK	10.0 u	: 
A,ED0-2,AC41A,Y25-34,M,PC,AT	14.4 	14.2 u
A,ED0-2,AC41A,Y25-34,M,PC,BE	5.2 	3.5 
A,ED0-2,AC41A,Y25-34,M,PC,BG	2.3 	0.4 
A,ED0-2,AC41A,Y25-34,M,PC,CH	15.3 u	18.5 u
A,ED0-2,AC41A,Y25-34,M,PC,CY	3.0 	6.4 u
A,ED0-2,AC41A,Y25-34,M,PC,CZ	5.0 	4.3 u
A,ED0-2,AC41A,Y25-34,M,PC,DE	7.2 	: u
A,ED0-2,AC41A,Y25-34,M,PC,DK	41.6 u	10.1 u
A,ED0-2,AC41A,Y25-34,M,PC,EE	13.2 	7.7 
