freq,unit,isced11,indic_wb,sex,age,geo\TIME_PERIOD	2013 	2014 	2015 
A,RTG,ED0-2,LEGTST,F,Y65-74,EU27_2020	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,EU28	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,FI	7.1 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,FR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,HR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,HU	5.2 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,IE	5.1 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,IS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,IT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,LT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,LU	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,LV	4.2 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,ME	4.4 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,MK	4.1 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,MT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,NL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,NO	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,PL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,PT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,RO	5.5 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,RS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,SE	6.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,SI	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,SK	3.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,TR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,UK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,AT	5.6 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,BE	4.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,BG	2.9 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,CH	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,CY	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,CZ	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,DE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,DK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,EA20	: 	3.9 e	3.9 e
A,RTG,ED0-2,LEGTST,F,Y_GE16,EE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,EL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,ES	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,EU	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,EU27_2020	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,EU28	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,FI	6.9 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,FR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,HR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,HU	5.0 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,IE	4.8 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,IS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,IT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,LT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,LU	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,LV	4.6 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,ME	4.4 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,MK	4.2 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,MT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,NL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,NO	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,PL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,PT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,RO	5.6 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,RS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,SE	6.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,SI	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,SK	3.6 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,TR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE16,UK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,AT	5.3 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,BE	4.9 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,BG	2.9 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,CH	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,CY	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,CZ	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,DE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,DK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,EA20	: 	4.1 e	4.1 e
A,RTG,ED0-2,LEGTST,F,Y_GE75,EE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,EL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,ES	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,EU	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,EU27_2020	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,EU28	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,FI	7.1 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,FR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,HR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,HU	5.3 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,IE	5.4 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,IS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,IT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,LT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,LU	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,LV	4.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,ME	4.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,MK	4.4 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,MT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,NL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,NO	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,PL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,PT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y_GE75,RO	5.7 	: 	: 
