freq,acl00,quantile,deg_urb,hhtyp,unit,geo\TIME_PERIOD	2015 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,NL	34.7 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,NO	52.5 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,PL	7.1 u
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,PT	5.2 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,RO	0.1 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,RS	6.4 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,SE	17.3 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,SI	23.4 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,SK	3.4 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,UK	10.2 u
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,AT	16.0 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,BE	10.7 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,BG	2.1 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,CH	22.8 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,CY	3.2 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,CZ	5.0 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,DE	19.6 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,DK	39.9 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,EE	15.2 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,EL	6.7 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,ES	11.7 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,EU27_2007	17.3 e
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,EU27_2020	17.1 e
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,EU28	17.3 e
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,FI	25.0 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,FR	17.6 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,HR	6.0 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,HU	5.2 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,IE	18.4 u
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,IS	25.9 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,IT	8.6 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,LT	9.1 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,LU	20.5 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,LV	2.9 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,MT	6.6 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,NL	36.3 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,NO	31.1 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,PL	14.7 u
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,PT	3.8 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,RO	2.7 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,RS	6.9 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,SE	34.7 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,SI	18.3 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,SK	8.2 
A,AC41A,QUINTILE1,DEG1,HH_NDCH,PC,UK	18.4 u
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,AT	15.4 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,BE	9.8 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,BG	3.8 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,CH	23.3 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,CY	2.7 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,CZ	5.1 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,DE	18.4 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,DK	38.6 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,EE	15.4 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,EL	6.8 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,ES	8.9 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,EU27_2007	14.7 e
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,EU27_2020	14.5 e
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,EU28	14.7 e
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,FI	24.5 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,FR	14.6 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,HR	4.8 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,HU	6.6 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,IE	19.2 u
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,IS	22.9 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,IT	8.2 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,LT	10.7 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,LU	17.4 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,LV	3.2 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,MT	5.9 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,NL	35.8 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,NO	37.9 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,PL	11.7 u
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,PT	4.5 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,RO	1.0 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,RS	6.6 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,SE	29.4 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,SI	20.2 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,SK	5.1 
A,AC41A,QUINTILE1,DEG1,TOTAL,PC,UK	15.4 u
A,AC41A,QUINTILE1,DEG2,A1,PC,AT	17.8 
A,AC41A,QUINTILE1,DEG2,A1,PC,BE	16.5 
A,AC41A,QUINTILE1,DEG2,A1,PC,BG	0.5 
A,AC41A,QUINTILE1,DEG2,A1,PC,CH	25.2 
A,AC41A,QUINTILE1,DEG2,A1,PC,CY	4.2 
A,AC41A,QUINTILE1,DEG2,A1,PC,CZ	4.8 
A,AC41A,QUINTILE1,DEG2,A1,PC,DE	24.7 
A,AC41A,QUINTILE1,DEG2,A1,PC,DK	25.1 
A,AC41A,QUINTILE1,DEG2,A1,PC,EE	12.7 
A,AC41A,QUINTILE1,DEG2,A1,PC,EL	8.6 
A,AC41A,QUINTILE1,DEG2,A1,PC,ES	18.6 
A,AC41A,QUINTILE1,DEG2,A1,PC,EU27_2007	17.9 e
A,AC41A,QUINTILE1,DEG2,A1,PC,EU27_2020	17.7 e
A,AC41A,QUINTILE1,DEG2,A1,PC,EU28	17.8 e
A,AC41A,QUINTILE1,DEG2,A1,PC,FI	21.5 
A,AC41A,QUINTILE1,DEG2,A1,PC,FR	11.6 
A,AC41A,QUINTILE1,DEG2,A1,PC,HR	5.1 
A,AC41A,QUINTILE1,DEG2,A1,PC,HU	6.2 
A,AC41A,QUINTILE1,DEG2,A1,PC,IE	20.2 u
A,AC41A,QUINTILE1,DEG2,A1,PC,IS	27.5 u
A,AC41A,QUINTILE1,DEG2,A1,PC,IT	8.1 
A,AC41A,QUINTILE1,DEG2,A1,PC,LT	: u
A,AC41A,QUINTILE1,DEG2,A1,PC,LU	24.8 
A,AC41A,QUINTILE1,DEG2,A1,PC,LV	3.7 
A,AC41A,QUINTILE1,DEG2,A1,PC,MT	3.8 u
A,AC41A,QUINTILE1,DEG2,A1,PC,NL	35.1 
A,AC41A,QUINTILE1,DEG2,A1,PC,NO	30.1 
A,AC41A,QUINTILE1,DEG2,A1,PC,PL	6.8 u
A,AC41A,QUINTILE1,DEG2,A1,PC,PT	4.4 
A,AC41A,QUINTILE1,DEG2,A1,PC,RO	6.0 u
A,AC41A,QUINTILE1,DEG2,A1,PC,RS	3.2 u
A,AC41A,QUINTILE1,DEG2,A1,PC,SE	26.4 
A,AC41A,QUINTILE1,DEG2,A1,PC,SI	17.8 
A,AC41A,QUINTILE1,DEG2,A1,PC,SK	8.5 
A,AC41A,QUINTILE1,DEG2,A1,PC,UK	18.6 u
A,AC41A,QUINTILE1,DEG2,A2,PC,AT	12.8 
A,AC41A,QUINTILE1,DEG2,A2,PC,BE	12.5 
A,AC41A,QUINTILE1,DEG2,A2,PC,BG	2.9 
A,AC41A,QUINTILE1,DEG2,A2,PC,CH	25.7 
A,AC41A,QUINTILE1,DEG2,A2,PC,CY	4.7 
A,AC41A,QUINTILE1,DEG2,A2,PC,CZ	2.6 
A,AC41A,QUINTILE1,DEG2,A2,PC,DE	21.4 
A,AC41A,QUINTILE1,DEG2,A2,PC,DK	48.1 u
A,AC41A,QUINTILE1,DEG2,A2,PC,EE	11.0 
A,AC41A,QUINTILE1,DEG2,A2,PC,EL	7.7 
A,AC41A,QUINTILE1,DEG2,A2,PC,ES	8.4 
A,AC41A,QUINTILE1,DEG2,A2,PC,EU27_2007	16.0 e
A,AC41A,QUINTILE1,DEG2,A2,PC,EU27_2020	15.8 e
A,AC41A,QUINTILE1,DEG2,A2,PC,EU28	16.0 e
A,AC41A,QUINTILE1,DEG2,A2,PC,FI	31.9 
A,AC41A,QUINTILE1,DEG2,A2,PC,FR	22.8 
A,AC41A,QUINTILE1,DEG2,A2,PC,HR	7.9 
A,AC41A,QUINTILE1,DEG2,A2,PC,HU	6.6 
A,AC41A,QUINTILE1,DEG2,A2,PC,IE	10.5 u
A,AC41A,QUINTILE1,DEG2,A2,PC,IS	: u
A,AC41A,QUINTILE1,DEG2,A2,PC,IT	6.6 
A,AC41A,QUINTILE1,DEG2,A2,PC,LT	: u
A,AC41A,QUINTILE1,DEG2,A2,PC,LU	21.3 
A,AC41A,QUINTILE1,DEG2,A2,PC,LV	9.9 
A,AC41A,QUINTILE1,DEG2,A2,PC,MT	5.6 
A,AC41A,QUINTILE1,DEG2,A2,PC,NL	27.1 
A,AC41A,QUINTILE1,DEG2,A2,PC,NO	38.2 u
