freq,frequenc,ind_type,isced11,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,1M,FAM,ED0-2,Y16-29,F,PC,MT	4.3 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,NL	7.9 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,NO	20.2 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,PL	19.9 u	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,PT	8.3 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,RO	9.7 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,RS	14.4 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,SE	21.6 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,SI	14.7 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,SK	11.1 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,UK	7.1 u	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,AT	17.3 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,BE	4.1 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,BG	20.5 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,CH	13.8 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,CY	4.7 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,CZ	15.3 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,DE	11.1 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,DK	21.3 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,EE	26.6 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,EL	4.9 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,ES	11.6 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,EU27_2007	12.8 e	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,EU27_2020	12.7 e	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,EU28	12.8 e	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,FI	16.4 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,FR	11.0 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,HR	11.0 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,HU	18.3 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,IE	8.0 u	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,IS	14.3 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,IT	10.6 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,LT	16.9 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,LU	11.0 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,LV	20.8 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,MK	1.6 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,MT	5.0 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,NL	7.6 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,NO	15.4 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,PL	25.8 u	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,PT	7.3 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,RO	9.3 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,RS	16.8 	: 
