A,GE1,ED0-2,Y16-29,M,PC,BG	42.4 	41.2 	18.5 
A,GE1,ED0-2,Y16-29,M,PC,CH	: 	91.8 	95.8 
A,GE1,ED0-2,Y16-29,M,PC,CY	80.3 	72.4 	70.3 
A,GE1,ED0-2,Y16-29,M,PC,CZ	84.9 	89.6 	81.1 
A,GE1,ED0-2,Y16-29,M,PC,DE	90.9 	85.8 	: u
A,GE1,ED0-2,Y16-29,M,PC,DK	97.2 	95.9 	84.1 
A,GE1,ED0-2,Y16-29,M,PC,EE	82.6 	85.8 	77.0 
A,GE1,ED0-2,Y16-29,M,PC,EL	73.2 	66.8 	64.0 
A,GE1,ED0-2,Y16-29,M,PC,ES	84.5 	75.4 	77.2 
A,GE1,ED0-2,Y16-29,M,PC,EU27_2007	: 	77.8 	: 
A,GE1,ED0-2,Y16-29,M,PC,EU27_2020	: 	77.8 e	: 
A,GE1,ED0-2,Y16-29,M,PC,EU28	: 	77.8 	: 
A,GE1,ED0-2,Y16-29,M,PC,FI	92.2 	92.6 	73.0 
A,GE1,ED0-2,Y16-29,M,PC,FR	89.7 	88.9 	74.8 
A,GE1,ED0-2,Y16-29,M,PC,HR	: 	75.4 	80.6 
A,GE1,ED0-2,Y16-29,M,PC,HU	75.0 	70.8 	62.5 
A,GE1,ED0-2,Y16-29,M,PC,IE	82.5 	88.8 	78.5 
A,GE1,ED0-2,Y16-29,M,PC,IS	96.6 	98.3 	: 
A,GE1,ED0-2,Y16-29,M,PC,IT	81.7 	65.3 	64.9 
A,GE1,ED0-2,Y16-29,M,PC,LT	83.7 	88.5 	67.5 
A,GE1,ED0-2,Y16-29,M,PC,LU	87.7 	93.5 	92.3 
A,GE1,ED0-2,Y16-29,M,PC,LV	79.5 	83.8 	50.8 
A,GE1,ED0-2,Y16-29,M,PC,ME	: 	: 	55.8 
A,GE1,ED0-2,Y16-29,M,PC,MK	: 	52.7 	: 
A,GE1,ED0-2,Y16-29,M,PC,MT	67.9 	60.3 	52.2 
